1	N	48
1	J	48
0	J	48
1	R	48
2	N	48
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	73
4	J	74
1	W	74
4	R	74
5	N	106
5	J	106
4	W	107
5	R	107
4	J	109
5	E	109
4	R	109
0	J	109
4	W	115
0	R	115
0	W	115
4	J	688
4	R	688
0	J	688
4	W	688
0	R	688
4	J	739
4	R	739
0	J	739
4	W	739
0	R	739
4	J	778
4	R	778
0	J	778
4	W	778
0	R	778
4	J	928
4	R	928
0	J	928
6	N	930
6	J	930
4	W	931
6	R	931
6	E	936
4	J	936
4	R	937
7	N	937
7	J	937
4	W	938
7	R	938
4	J	940
7	E	940
4	R	940
0	J	940
4	W	941
0	R	941
4	J	958
4	R	958
0	J	958
4	W	958
0	R	958
4	J	1832
4	R	1832
0	J	1832
4	W	1833
0	R	1833
4	J	1862
4	R	1862
0	J	1862
4	W	1862
0	R	1862
4	J	1910
4	R	1910
0	J	1910
4	W	1910
0	R	1910
4	J	1940
4	R	1940
0	J	1940
4	W	1940
0	R	1941
4	J	2368
4	R	2368
0	J	2368
4	W	2368
0	R	2368
4	J	2412
4	R	2412
0	J	2412
4	W	2412
0	R	2413
4	J	2458
4	R	2458
0	J	2458
4	W	2458
0	R	2458
4	J	2488
4	R	2488
0	J	2488
4	W	2488
0	R	2488
4	J	2698
4	R	2698
0	J	2698
8	N	2699
8	J	2700
4	W	2700
8	R	2700
8	E	2705
4	J	2705
4	R	2705
9	N	2705
9	J	2706
4	W	2706
9	R	2706
4	J	2708
9	E	2709
4	R	2709
0	J	2709
4	W	2709
0	R	2709
4	J	2726
4	R	2726
0	J	2726
4	W	2726
0	R	2726
3	J	3066
3	R	3066
3	W	3066
0	R	3066
4	J	3477
4	R	3477
0	J	3477
4	W	3477
0	R	3477
4	J	3508
4	R	3508
0	J	3508
4	W	3508
0	R	3508
4	J	3538
4	R	3538
0	J	3538
4	W	3538
0	R	3538
4	J	3568
4	R	3568
0	J	3568
4	W	3568
0	R	3568
4	J	4058
4	R	4058
0	J	4058
4	W	4058
0	R	4058
4	J	4078
4	R	4078
0	J	4078
4	W	4078
0	R	4078
4	J	4147
4	R	4147
0	J	4147
4	W	4147
0	R	4147
4	J	4176
4	R	4176
0	J	4177
4	W	4177
0	R	4177
4	J	4198
4	R	4198
0	J	4198
4	W	4198
0	R	4198
4	J	4228
4	R	4228
0	J	4228
4	W	4228
0	R	4228
4	J	4671
4	R	4671
0	J	4671
4	W	4671
0	R	4671
4	J	4703
4	R	4703
0	J	4703
4	W	4703
0	R	4703
4	J	4798
4	R	4798
0	J	4798
4	W	4798
0	R	4798
4	J	4828
4	R	4828
0	J	4828
4	W	4828
0	R	4828
4	J	4881
4	R	4881
0	J	4881
4	W	4881
0	R	4881
4	J	4900
4	R	4900
0	J	4900
4	W	4900
0	R	4900
4	J	4948
4	R	4948
0	J	4948
4	W	4948
0	R	4948
4	J	4964
4	R	4964
0	J	4964
4	W	4964
0	R	4964
4	J	5308
4	R	5308
0	J	5308
10	N	5309
10	J	5309
4	W	5310
10	R	5310
11	N	5311
11	J	5312
12	N	5312
12	J	5313
10	W	5313
12	R	5313
12	J	5328
11	R	5328
11	J	5343
12	R	5343
12	J	5358
11	R	5358
11	J	5373
12	R	5373
12	J	5388
11	R	5388
11	J	5403
12	R	5403
12	J	5418
11	R	5418
11	J	5433
12	R	5433
12	J	5448
11	R	5448
11	J	5463
12	R	5463
12	J	5478
11	R	5478
11	J	5493
12	R	5493
12	J	5508
11	R	5508
11	J	5523
12	R	5523
12	J	5538
11	R	5538
11	J	5553
12	R	5553
12	J	5568
11	R	5568
11	J	5583
12	R	5583
12	J	5598
11	R	5598
11	J	5613
